,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
466,RO,BR,BRASIL,35,PORTO VELHO,13,PT,14540
467,AM,BR,BRASIL,2194,CANUTAMA,13,PT,3359
468,MA,BR,BRASIL,7986,NOVA COLINAS,13,PT,2368
469,MA,BR,BRASIL,8583,TUFILÂNDIA,13,PT,3436
1563,PI,BR,BRASIL,12378,FRANCISCO MACEDO,13,PT,1748
1564,RN,BR,BRASIL,17213,MESSIAS TARGINO,13,PT,2383
1577,ZZ,BR,BRASIL,29335,ATENAS,13,PT,99
1578,BA,BR,BRASIL,37834,PEDRÃO,13,PT,3584
1579,MG,BR,BRASIL,40460,MONTEZUMA,13,PT,2369
2154,MG,BR,BRASIL,48496,MONJOLOS,13,PT,813
2155,MG,BR,BRASIL,49654,PAULA CÂNDIDO,13,PT,3330
2156,SP,BR,BRASIL,62448,TRABIJU,13,PT,436
2169,SP,BR,BRASIL,70530,SANTA ROSA DE VITERBO,13,PT,3554
2170,PR,BR,BRASIL,76473,JATAIZINHO,13,PT,2446
2178,RS,BR,BRASIL,85766,RELVADO,13,PT,347
2179,MT,BR,BRASIL,90310,BARÃO DE MELGAÇO,13,PT,2618
2193,MS,BR,BRASIL,91456,RIO NEGRO,13,PT,1063
2194,GO,BR,BRASIL,93750,GOIANIRA,13,PT,8161
2195,PA,BR,BRASIL,5479,SÃO FRANCISCO DO PARÁ,17,PSL,3646
2196,PA,BR,BRASIL,5975,DOM ELISEU,17,PSL,8200
2197,MA,BR,BRASIL,8087,PERITORÓ,17,PSL,1457
2198,MA,BR,BRASIL,9415,TURIAÇU,17,PSL,2348
2291,AM,BR,BRASIL,2356,HUMAITÁ,13,PT,10398
2292,PA,BR,BRASIL,4707,CANAÃ DOS CARAJÁS,13,PT,9048
2308,RN,BR,BRASIL,16144,FERNANDO PEDROZA,13,PT,1523
2309,RN,BR,BRASIL,17914,PEDRA PRETA,13,PT,1439
2310,PE,BR,BRASIL,25593,SÃO BENTO DO UNA,13,PT,18139
2311,AL,BR,BRASIL,28312,PAULO JACINTO,13,PT,2868
2895,CE,BR,BRASIL,13358,BAIXIO,17,PSL,419
2910,BA,BR,BRASIL,38490,SALVADOR,17,PSL,37733
2911,MG,BR,BRASIL,40878,ARGIRITA,17,PSL,687
2945,SP,BR,BRASIL,66117,JOANÓPOLIS,17,PSL,5122
3009,BA,BR,BRASIL,35092,ENTRE RIOS,13,PT,16995
3010,MG,BR,BRASIL,40673,ARAÇUAÍ,13,PT,9420
3023,MG,BR,BRASIL,45071,FELÍCIO DOS SANTOS,13,PT,1317
3024,RJ,BR,BRASIL,60011,RIO DE JANEIRO,13,PT,18474
3052,SC,BR,BRASIL,83682,TUNÁPOLIS,13,PT,737
